Governorate,Date,Year,Month,Weather_Code,Max_Temp,Min_Temp,Avg_Humidity,Source
Cairo,2026-04-01,2026,4,61,29.1,19.3,43,Open-Meteo Historical Weather API
Cairo,2026-04-02,2026,4,53,24.0,16.9,59,Open-Meteo Historical Weather API
Cairo,2026-04-03,2026,4,3,26.5,13.8,39,Open-Meteo Historical Weather API
Cairo,2026-04-04,2026,4,0,25.8,14.5,34,Open-Meteo Historical Weather API
Cairo,2026-04-05,2026,4,0,28.7,14.5,28,Open-Meteo Historical Weather API
Cairo,2026-04-06,2026,4,3,25.6,13.8,48,Open-Meteo Historical Weather API
Cairo,2026-04-07,2026,4,3,25.3,15.4,50,Open-Meteo Historical Weather API
Cairo,2026-04-08,2026,4,51,25.2,13.8,51,Open-Meteo Historical Weather API
Cairo,2026-04-09,2026,4,3,27.5,13.8,31,Open-Meteo Historical Weather API
Cairo,2026-04-10,2026,4,3,27.5,14.9,36,Open-Meteo Historical Weather API
Cairo,2026-04-11,2026,4,0,26.8,14.5,47,Open-Meteo Historical Weather API
Cairo,2026-04-12,2026,4,0,28.5,14.8,43,Open-Meteo Historical Weather API
Cairo,2026-04-13,2026,4,0,28.8,15.3,48,Open-Meteo Historical Weather API
Cairo,2026-04-14,2026,4,3,30.5,15.3,47,Open-Meteo Historical Weather API
Cairo,2026-04-15,2026,4,3,34.8,17.1,42,Open-Meteo Historical Weather API
Cairo,2026-04-16,2026,4,3,37.8,18.3,32,Open-Meteo Historical Weather API
Cairo,2026-04-17,2026,4,2,30.1,22.9,24,Open-Meteo Historical Weather API
Cairo,2026-04-18,2026,4,3,27.5,20.2,40,Open-Meteo Historical Weather API
Cairo,2026-04-19,2026,4,1,28.2,16.3,49,Open-Meteo Historical Weather API
Cairo,2026-04-20,2026,4,0,26.6,15.1,50,Open-Meteo Historical Weather API
Cairo,2026-04-21,2026,4,3,27.0,15.0,47,Open-Meteo Historical Weather API
Cairo,2026-04-22,2026,4,0,29.4,15.0,44,Open-Meteo Historical Weather API
Cairo,2026-04-23,2026,4,0,31.3,15.9,35,Open-Meteo Historical Weather API
Cairo,2026-04-24,2026,4,3,30.5,17.0,30,Open-Meteo Historical Weather API
Cairo,2026-04-25,2026,4,3,34.9,17.1,36,Open-Meteo Historical Weather API
Cairo,2026-04-26,2026,4,3,27.0,17.7,44,Open-Meteo Historical Weather API
Cairo,2026-04-27,2026,4,51,27.1,16.9,50,Open-Meteo Historical Weather API
Cairo,2026-04-28,2026,4,3,30.5,16.9,47,Open-Meteo Historical Weather API
Cairo,2026-04-29,2026,4,0,30.2,17.0,38,Open-Meteo Historical Weather API
Cairo,2026-04-30,2026,4,1,30.8,16.6,45,Open-Meteo Historical Weather API
Alexandria,2026-04-01,2026,4,61,21.8,16.1,74,Open-Meteo Historical Weather API
Alexandria,2026-04-02,2026,4,51,19.7,13.9,71,Open-Meteo Historical Weather API
Alexandria,2026-04-03,2026,4,2,25.5,12.2,52,Open-Meteo Historical Weather API
Alexandria,2026-04-04,2026,4,0,21.8,11.3,62,Open-Meteo Historical Weather API
Alexandria,2026-04-05,2026,4,0,23.4,11.3,64,Open-Meteo Historical Weather API
Alexandria,2026-04-06,2026,4,51,20.5,12.8,76,Open-Meteo Historical Weather API
Alexandria,2026-04-07,2026,4,61,19.7,12.9,76,Open-Meteo Historical Weather API
Alexandria,2026-04-08,2026,4,1,20.7,14.7,73,Open-Meteo Historical Weather API
Alexandria,2026-04-09,2026,4,3,21.3,15.3,75,Open-Meteo Historical Weather API
Alexandria,2026-04-10,2026,4,1,21.6,15.9,79,Open-Meteo Historical Weather API
Alexandria,2026-04-11,2026,4,3,21.5,15.2,78,Open-Meteo Historical Weather API
Alexandria,2026-04-12,2026,4,3,22.1,12.2,79,Open-Meteo Historical Weather API
Alexandria,2026-04-13,2026,4,1,24.1,12.6,74,Open-Meteo Historical Weather API
Alexandria,2026-04-14,2026,4,3,25.6,13.4,71,Open-Meteo Historical Weather API
Alexandria,2026-04-15,2026,4,3,27.4,16.3,65,Open-Meteo Historical Weather API
Alexandria,2026-04-16,2026,4,3,33.0,16.3,61,Open-Meteo Historical Weather API
Alexandria,2026-04-17,2026,4,3,28.0,20.4,39,Open-Meteo Historical Weather API
Alexandria,2026-04-18,2026,4,51,23.2,17.5,71,Open-Meteo Historical Weather API
Alexandria,2026-04-19,2026,4,1,21.8,16.4,72,Open-Meteo Historical Weather API
Alexandria,2026-04-20,2026,4,2,21.4,16.3,62,Open-Meteo Historical Weather API
Alexandria,2026-04-21,2026,4,1,22.0,15.5,69,Open-Meteo Historical Weather API
Alexandria,2026-04-22,2026,4,3,23.5,12.7,74,Open-Meteo Historical Weather API
Alexandria,2026-04-23,2026,4,0,26.3,12.3,62,Open-Meteo Historical Weather API
Alexandria,2026-04-24,2026,4,3,28.5,13.5,61,Open-Meteo Historical Weather API
Alexandria,2026-04-25,2026,4,51,33.9,16.1,58,Open-Meteo Historical Weather API
Alexandria,2026-04-26,2026,4,51,22.3,16.9,69,Open-Meteo Historical Weather API
Alexandria,2026-04-27,2026,4,51,22.8,16.7,72,Open-Meteo Historical Weather API
