Governorate,Date,Year,Month,Weather_Code,Max_Temp,Min_Temp,Avg_Humidity,Source
Cairo,2026-01-01,2026,1,3,21.1,12.5,42,Open-Meteo Historical Weather API
Cairo,2026-01-02,2026,1,3,18.8,11.5,65,Open-Meteo Historical Weather API
Cairo,2026-01-03,2026,1,0,18.9,7.6,58,Open-Meteo Historical Weather API
Cairo,2026-01-04,2026,1,3,20.7,9.8,56,Open-Meteo Historical Weather API
Cairo,2026-01-05,2026,1,3,22.6,6.8,55,Open-Meteo Historical Weather API
Cairo,2026-01-06,2026,1,3,23.3,8.4,43,Open-Meteo Historical Weather API
Cairo,2026-01-07,2026,1,3,25.6,10.8,38,Open-Meteo Historical Weather API
Cairo,2026-01-08,2026,1,3,26.0,11.9,45,Open-Meteo Historical Weather API
Cairo,2026-01-09,2026,1,53,20.7,13.9,57,Open-Meteo Historical Weather API
Cairo,2026-01-10,2026,1,3,20.8,10.1,62,Open-Meteo Historical Weather API
Cairo,2026-01-11,2026,1,3,21.5,10.1,57,Open-Meteo Historical Weather API
Cairo,2026-01-12,2026,1,3,19.1,11.4,43,Open-Meteo Historical Weather API
Cairo,2026-01-13,2026,1,3,17.8,10.5,50,Open-Meteo Historical Weather API
Cairo,2026-01-14,2026,1,3,18.6,11.9,54,Open-Meteo Historical Weather API
Cairo,2026-01-15,2026,1,3,19.3,9.8,66,Open-Meteo Historical Weather API
Cairo,2026-01-16,2026,1,3,20.3,9.5,61,Open-Meteo Historical Weather API
Cairo,2026-01-17,2026,1,3,21.0,9.8,59,Open-Meteo Historical Weather API
Cairo,2026-01-18,2026,1,3,21.2,9.3,60,Open-Meteo Historical Weather API
Cairo,2026-01-19,2026,1,3,19.7,10.0,59,Open-Meteo Historical Weather API
Cairo,2026-01-20,2026,1,51,19.2,9.7,60,Open-Meteo Historical Weather API
Cairo,2026-01-21,2026,1,3,24.9,11.4,40,Open-Meteo Historical Weather API
Cairo,2026-01-22,2026,1,3,23.6,16.8,37,Open-Meteo Historical Weather API
